INDEX NAME1 R1 G1 M1 A1 C1 NAME2 R2 G2 M2 A2 C2
82 J133815.87+043233.3 1.700000e+01 5.834272e-01 4.499977e-03 5.525575e-01 5.944600e-01 J141451.35+030751.3 1.300000e+01 6.057972e-01 2.500299e-03 1.211685e-01 5.618971e-01
83 J133815.87+043233.3 1.700000e+01 5.834272e-01 4.499977e-03 5.525575e-01 5.944600e-01 J144545.12+513450.9 1.500000e+01 5.651273e-01 3.652051e-03 3.446012e-01 5.638736e-01
84 J133815.87+043233.3 1.700000e+01 5.834272e-01 4.499977e-03 5.525575e-01 5.944600e-01 J172717.39+582907.7 1.600000e+01 5.543037e-01 4.402789e-03 2.200831e-01 5.127306e-01
85 J100207.04+030327.7 1.300000e+01 5.232108e-01 3.508624e-03 2.483622e-01 4.909136e-01 J034545.16-071526.9 1.200000e+01 5.983513e-01 3.863854e-03 1.457907e-01 5.899742e-01
86 J100207.04+030327.7 1.300000e+01 5.232108e-01 3.508624e-03 2.483622e-01 4.909136e-01 J074953.38+451454.6 7.000000e+00 5.645663e-01 6.780713e-03 1.489772e-01 4.843359e-01
87 J100207.04+030327.7 1.300000e+01 5.232108e-01 3.508624e-03 2.483622e-01 4.909136e-01 J094511.97-000712.1 1.100000e+01 5.189837e-01 7.381157e-03 4.081375e-01 5.007598e-01
88 J100207.04+030327.7 1.300000e+01 5.232108e-01 3.508624e-03 2.483622e-01 4.909136e-01 J080328.07+250609.6 1.200000e+01 6.021154e-01 7.525466e-03 1.754022e-01 5.713597e-01
89 J100207.04+030327.7 1.300000e+01 5.232108e-01 3.508624e-03 2.483622e-01 4.909136e-01 J005329.92-084604.0 1.400000e+01 5.731112e-01 6.067432e-03 5.782396e-01 5.713679e-01
90 J121754.98+583935.7 1.200000e+01 6.270742e-01 4.620374e-03 8.637216e-02 5.832332e-01 J080547.35+225434.9 1.400000e+01 4.568138e-01 6.681304e-03 6.494083e-01 5.766336e-01
91 J121754.98+583935.7 1.200000e+01 6.270742e-01 4.620374e-03 8.637216e-02 5.832332e-01 J023310.79-074813.4 9.000000e+00 5.618369e-01 8.119877e-03 1.913593e-01 5.647209e-01
92 J121754.98+583935.7 1.200000e+01 6.270742e-01 4.620374e-03 8.637216e-02 5.832332e-01 J213206.88+110637.0 7.000000e+00 5.682609e-01 5.128257e-03 1.984685e-01 5.737029e-01
93 J121754.98+583935.7 1.200000e+01 6.270742e-01 4.620374e-03 8.637216e-02 5.832332e-01 J104833.59+475914.7 7.000000e+00 5.663119e-01 4.774220e-03 2.064782e-01 4.623298e-01
